Layout Name,Algorithm,Nodes Expanded,Path Cost
bigCorners,dfs,"50",44
bigCorners,bfs,"383",36
bigCorners,astar,"116",36
bigCorners,ucs,"383",36
bigCorners,mm,"107",36
bigCorners,mm0,"160",36
bigCorners_0,dfs,"423",150
bigCorners_0,bfs,"427",46
bigCorners_0,astar,"99",46
bigCorners_0,ucs,"427",46
bigCorners_0,mm,"98",46
bigCorners_0,mm0,"205",46
bigCorners_1,dfs,"443",115
bigCorners_1,bfs,"427",45
bigCorners_1,astar,"99",45
bigCorners_1,ucs,"427",45
bigCorners_1,mm,"100",45
bigCorners_1,mm0,"202",45
bigCorners_10,dfs,"427",145
bigCorners_10,bfs,"496",49
bigCorners_10,astar,"116",49
bigCorners_10,ucs,"496",49
bigCorners_10,mm,"149",49
bigCorners_10,mm0,"293",49
bigCorners_100,dfs,"459",128
bigCorners_100,bfs,"538",60
bigCorners_100,astar,"174",60
bigCorners_100,ucs,"538",60
bigCorners_100,mm,"288",60
bigCorners_100,mm0,"417",60
bigCorners_101,dfs,"450",90
bigCorners_101,bfs,"536",66
bigCorners_101,astar,"304",66
bigCorners_101,ucs,"536",66
bigCorners_101,mm,"349",66
bigCorners_101,mm0,"448",66
bigCorners_102,dfs,"344",124
bigCorners_102,bfs,"581",72
bigCorners_102,astar,"337",72
bigCorners_102,ucs,"581",72
bigCorners_102,mm,"418",72
bigCorners_102,mm0,"476",72
bigCorners_103,dfs,"442",113
bigCorners_103,bfs,"604",73
bigCorners_103,astar,"338",73
bigCorners_103,ucs,"604",73
bigCorners_103,mm,"436",73
bigCorners_103,mm0,"485",73
bigCorners_104,dfs,"443",114
bigCorners_104,bfs,"621",74
bigCorners_104,astar,"349",74
bigCorners_104,ucs,"621",74
bigCorners_104,mm,"430",74
bigCorners_104,mm0,"490",74
bigCorners_105,dfs,"444",115
bigCorners_105,bfs,"629",75
bigCorners_105,astar,"368",75
bigCorners_105,ucs,"629",75
bigCorners_105,mm,"473",75
bigCorners_105,mm0,"499",75
bigCorners_106,dfs,"445",116
bigCorners_106,bfs,"637",76
bigCorners_106,astar,"383",76
bigCorners_106,ucs,"637",76
bigCorners_106,mm,"472",76
bigCorners_106,mm0,"504",76
bigCorners_107,dfs,"356",126
bigCorners_107,bfs,"647",74
bigCorners_107,astar,"488",74
bigCorners_107,ucs,"647",74
bigCorners_107,mm,"467",74
bigCorners_107,mm0,"505",74
bigCorners_108,dfs,"294",91
bigCorners_108,bfs,"651",73
bigCorners_108,astar,"439",73
bigCorners_108,ucs,"651",73
bigCorners_108,mm,"440",73
bigCorners_108,mm0,"483",73
bigCorners_109,dfs,"295",92
bigCorners_109,bfs,"651",72
bigCorners_109,astar,"245",72
bigCorners_109,ucs,"651",72
bigCorners_109,mm,"260",72
bigCorners_109,mm0,"468",72
bigCorners_11,dfs,"427",146
bigCorners_11,bfs,"500",50
bigCorners_11,astar,"126",50
bigCorners_11,ucs,"500",50
bigCorners_11,mm,"165",50
bigCorners_11,mm0,"302",50
bigCorners_110,dfs,"436",127
bigCorners_110,bfs,"342",37
bigCorners_110,astar,"75",37
bigCorners_110,ucs,"342",37
bigCorners_110,mm,"61",37
bigCorners_110,mm0,"157",37
bigCorners_111,dfs,"423",129
bigCorners_111,bfs,"386",37
bigCorners_111,astar,"78",37
bigCorners_111,ucs,"386",37
bigCorners_111,mm,"93",37
bigCorners_111,mm0,"183",37
bigCorners_112,dfs,"426",131
bigCorners_112,bfs,"372",39
bigCorners_112,astar,"79",39
bigCorners_112,ucs,"372",39
bigCorners_112,mm,"96",39
bigCorners_112,mm0,"171",39
bigCorners_113,dfs,"408",173
bigCorners_113,bfs,"471",49
bigCorners_113,astar,"103",49
bigCorners_113,ucs,"471",49
bigCorners_113,mm,"145",49
bigCorners_113,mm0,"239",49
bigCorners_114,dfs,"409",171
bigCorners_114,bfs,"482",47
bigCorners_114,astar,"119",47
bigCorners_114,ucs,"482",47
bigCorners_114,mm,"138",47
bigCorners_114,mm0,"248",47
bigCorners_115,dfs,"408",187
bigCorners_115,bfs,"504",55
bigCorners_115,astar,"154",55
bigCorners_115,ucs,"504",55
bigCorners_115,mm,"229",55
bigCorners_115,mm0,"324",55
bigCorners_116,dfs,"459",125
bigCorners_116,bfs,"538",57
bigCorners_116,astar,"158",57
bigCorners_116,ucs,"538",57
bigCorners_116,mm,"215",57
bigCorners_116,mm0,"415",57
bigCorners_117,dfs,"450",89
bigCorners_117,bfs,"538",67
bigCorners_117,astar,"306",67
bigCorners_117,ucs,"538",67
bigCorners_117,mm,"370",67
bigCorners_117,mm0,"453",67
bigCorners_118,dfs,"440",111
bigCorners_118,bfs,"574",71
bigCorners_118,astar,"335",71
bigCorners_118,ucs,"574",71
bigCorners_118,mm,"420",71
bigCorners_118,mm0,"472",71
bigCorners_119,dfs,"346",119
bigCorners_119,bfs,"640",77
bigCorners_119,astar,"441",77
bigCorners_119,ucs,"640",77
bigCorners_119,mm,"502",77
bigCorners_119,mm0,"513",77
bigCorners_12,dfs,"427",147
bigCorners_12,bfs,"504",51
bigCorners_12,astar,"131",51
bigCorners_12,ucs,"504",51
bigCorners_12,mm,"171",51
bigCorners_12,mm0,"324",51
bigCorners_120,dfs,"353",123
bigCorners_120,bfs,"651",71
bigCorners_120,astar,"227",71
bigCorners_120,ucs,"651",71
bigCorners_120,mm,"260",71
bigCorners_120,mm0,"456",71
bigCorners_121,dfs,"435",126
bigCorners_121,bfs,"342",36
bigCorners_121,astar,"75",36
bigCorners_121,ucs,"342",36
bigCorners_121,mm,"59",36
bigCorners_121,mm0,"159",36
bigCorners_122,dfs,"439",125
bigCorners_122,bfs,"342",35
bigCorners_122,astar,"74",35
bigCorners_122,ucs,"342",35
bigCorners_122,mm,"59",35
bigCorners_122,mm0,"160",35
bigCorners_123,dfs,"439",124
bigCorners_123,bfs,"342",34
bigCorners_123,astar,"73",34
bigCorners_123,ucs,"342",34
bigCorners_123,mm,"77",34
bigCorners_123,mm0,"163",34
bigCorners_124,dfs,"427",127
bigCorners_124,bfs,"358",35
bigCorners_124,astar,"75",35
bigCorners_124,ucs,"358",35
bigCorners_124,mm,"84",35
bigCorners_124,mm0,"171",35
bigCorners_125,dfs,"423",128
bigCorners_125,bfs,"372",36
bigCorners_125,astar,"77",36
bigCorners_125,ucs,"372",36
bigCorners_125,mm,"93",36
bigCorners_125,mm0,"174",36
bigCorners_126,dfs,"424",129
bigCorners_126,bfs,"372",37
bigCorners_126,astar,"78",37
bigCorners_126,ucs,"372",37
bigCorners_126,mm,"94",37
bigCorners_126,mm0,"176",37
bigCorners_127,dfs,"425",130
bigCorners_127,bfs,"372",38
bigCorners_127,astar,"79",38
bigCorners_127,ucs,"372",38
bigCorners_127,mm,"97",38
bigCorners_127,mm0,"170",38
bigCorners_128,dfs,"407",172
bigCorners_128,bfs,"471",48
bigCorners_128,astar,"103",48
bigCorners_128,ucs,"471",48
bigCorners_128,mm,"139",48
bigCorners_128,mm0,"235",48
bigCorners_129,dfs,"409",171
bigCorners_129,bfs,"471",47
bigCorners_129,astar,"103",47
bigCorners_129,ucs,"471",47
bigCorners_129,mm,"141",47
bigCorners_129,mm0,"238",47
bigCorners_13,dfs,"408",184
bigCorners_13,bfs,"508",52
bigCorners_13,astar,"152",52
bigCorners_13,ucs,"508",52
bigCorners_13,mm,"204",52
bigCorners_13,mm0,"334",52
bigCorners_130,dfs,"409",170
bigCorners_130,bfs,"471",46
bigCorners_130,astar,"103",46
bigCorners_130,ucs,"471",46
bigCorners_130,mm,"129",46
bigCorners_130,mm0,"235",46
bigCorners_131,dfs,"408",185
bigCorners_131,bfs,"451",45
bigCorners_131,astar,"99",45
bigCorners_131,ucs,"451",45
bigCorners_131,mm,"126",45
bigCorners_131,mm0,"222",45
bigCorners_132,dfs,"408",186
bigCorners_132,bfs,"438",44
bigCorners_132,astar,"97",44
bigCorners_132,ucs,"438",44
bigCorners_132,mm,"131",44
bigCorners_132,mm0,"215",44
bigCorners_133,dfs,"408",188
bigCorners_133,bfs,"504",56
bigCorners_133,astar,"154",56
bigCorners_133,ucs,"504",56
bigCorners_133,mm,"230",56
bigCorners_133,mm0,"319",56
bigCorners_134,dfs,"407",189
bigCorners_134,bfs,"504",57
bigCorners_134,astar,"154",57
bigCorners_134,ucs,"504",57
bigCorners_134,mm,"238",57
bigCorners_134,mm0,"322",57
bigCorners_135,dfs,"408",190
bigCorners_135,bfs,"504",58
bigCorners_135,astar,"154",58
bigCorners_135,ucs,"504",58
bigCorners_135,mm,"237",58
bigCorners_135,mm0,"317",58
bigCorners_136,dfs,"459",126
bigCorners_136,bfs,"536",58
bigCorners_136,astar,"156",58
bigCorners_136,ucs,"536",58
